height, algo, pow_hash, timestamp, bits
242, keccak, 00f9691d80c41e29012890cd47db0035c16182b21cce71c6d6069da31e865a8a, 1545978364, 20010697
243, skein, 0050b9b75692eda1d4428fd8fee9e762c3a7f8d4c6b987cf209d96e50b0cfa0b, 1545978379, 2000f6c1
244, sha256d, 00b3e067ed7c8f2c8f8c07ebd6b6501be84ea88df1a4f7689388592f83767545, 1545978394, 2001106f
245, skein, 001f3bcc6d29f34c65b755e5c95dfe0aacce41fdb68bb5d770865825a6d5e1c3, 1545978409, 2000ff04
246, sha256d, 00de288574b7a3bf9c40e008704ba37e5595ef2c128d8bc14db33af9aff2a65e, 1545978418, 200116ec
247, blake14lr, 00bade63aae09fd4593045d9b4c64a96884924d506b13b046826cf485f81a3c4, 1545978424, 20013507
248, keccak, 007e58960f8f5eba81dd8e838e27edd761bb51b28b3db8cd8373d0d175ca2156, 1545978439, 20011f00
249, blake14lr, 00dd7d6e07cfbf3afc4f15a27814a901c4a40954f0214df2b81608e0ed787057, 1545978454, 200133d9
250, blake14lr, 013bfb908c78f323615871210fca2fa7eefd22a84908751051a5fa60937b9ebb, 1545978456, 20013d06
251, sha256d, 0006a33177d108ad2f09b95b6f1d0a6b8a92e061651801a33aa59bc2417be443, 1545978469, 20014ad4
252, blake14lr, 002fa6ae2dccc9ec204ce231214c865d930b54c5d5884f53b32fcb7a187f0a2d, 1545978484, 20013051
253, sha256d, 00fd55dcdca6892f39c76665ae2756ac4012ce5deae7ec8c63e8571fd00c5575, 1545978486, 2001306d
254, x11, 0102fece869548ed78f4afc6e21474a29816351558aebd471f37f327d6de5d39, 1545978499, 2001167e
255, x11, 00b5216db3d3592193662c2c40a269835390a19a593cf67a233c05620c79794e, 1545978502, 2000fe3d
256, x11, 009c64aea2965edde595555583008f73ee090aa651602f76adced55d961d7750, 1545978514, 2000e748
257, x11, 00628dfabd5a31704b88767f2e4c90020f8ae2f605e196053e902ef61adfb068, 1545978516, 2000d1ef
